"","date","max_temperature","avg_hourly_temperature","avg_temperature","min_temperature","max_humidex","min_windchill","max_relative_humidity","avg_hourly_relative_humidity","avg_relative_humidity","min_relative_humidity","max_dew_point","avg_hourly_dew_point","avg_dew_point","min_dew_point","max_wind_speed","avg_hourly_wind_speed","avg_wind_speed","min_wind_speed","max_wind_gust","wind_gust_dir_10s","max_pressure_sea","avg_hourly_pressure_sea","avg_pressure_sea","min_pressure_sea","max_pressure_station","avg_hourly_pressure_station","avg_pressure_station","min_pressure_station","max_visibility","avg_hourly_visibility","avg_visibility","min_visibility","max_health_index","avg_hourly_health_index","avg_health_index","min_health_index","heatdegdays","cooldegdays","growdegdays_5","growdegdays_7","growdegdays_10","precipitation","rain","snow","snow_on_ground","sunrise","sunset","daylight","sunrise_f","sunset_f","min_uv_forecast","max_uv_forecast","min_high_temperature_forecast","max_high_temperature_forecast","min_low_temperature_forecast","max_low_temperature_forecast","solar_radiation","max_cloud_cover_4","avg_hourly_cloud_cover_4","avg_cloud_cover_4","min_cloud_cover_4","max_cloud_cover_8","avg_hourly_cloud_cover_8","avg_cloud_cover_8","min_cloud_cover_8","max_cloud_cover_10","avg_hourly_cloud_cover_10","avg_cloud_cover_10","min_cloud_cover_10"
"1","2022-01-16",6.3,5.29,5.55,4.8,NA,NA,100,99,NA,97,6.1,5.1,5.3,4.6,11,4.96,6,1,NA,NA,102.76,102.34,102.35,101.94,102.71,102.29,102.3,101.89,16100,6950,8350,600,2,1.3,1.5,1,12.4,0,0.6,0,0,0,NA,NA,NA,"08:01:00","16:43:00",8.7,8.02,16.72,1,1,7,7,4,4,NA,NA,NA,NA,NA,8,6.7,5,2,NA,NA,NA,NA
"2","2022-01-15",7,5.66,5.15,3.3,NA,NA,100,99.2,99,98,6.5,5.6,4.8,3.1,13,6.21,8,3,NA,NA,102.9,102.82,102.81,102.71,102.85,102.77,102.76,102.66,24100,10870.8,12150,200,2.2,1.5,1.6,1,12.8,0,0.2,0,0,0.2,0.2,0,NA,"08:02:00","16:42:00",8.67,8.03,16.7,NA,NA,7,8,5,5,NA,NA,NA,NA,NA,8,6.3,4.5,1,NA,NA,NA,NA
"3","2022-01-14",9.8,6.94,7.45,5.1,NA,NA,99,95.7,93,87,7.4,6.3,6.3,5.3,14,7.67,8,2,NA,NA,103.29,103.1,103.06,102.83,103.24,103.05,103.01,102.78,48300,31570.8,33800,19300,1.8,1.3,1.4,1,10.6,0,2.5,0.4,0,0,0,0,NA,"08:03:00","16:40:00",8.62,8.05,16.67,1,1,9,9,6,6,NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA
"4","2022-01-13",11.1,7.56,7.5,3.9,NA,NA,99,94.8,93,87,8.5,6.7,6.2,4,16,8.58,9,2,NA,NA,103.06,102.3,102.37,101.68,103.01,102.25,102.32,101.63,48300,34525,36200,24100,2.3,1.7,1.6,1,10.5,0,2.5,0.5,0,0.2,0.2,0,NA,"08:04:00","16:39:00",8.58,8.07,16.65,1,1,9,10,6,6,NA,NA,NA,NA,NA,8,6.2,4.5,1,NA,NA,NA,NA
"5","2022-01-12",11.5,9.87,10.19,8.9,NA,NA,99,96.8,94.5,90,10.2,9.4,9.2,8.2,23,15.88,14.5,6,38,9,101.97,101.77,101.81,101.64,101.92,101.72,101.75,101.59,32200,17116.7,19300,6400,2.4,1.7,1.8,1.2,7.8,0,5.2,3.2,0.2,29.3,29.3,0,NA,"08:04:00","16:38:00",8.57,8.07,16.63,NA,NA,10,10,9,9,NA,NA,NA,NA,NA,8,7.9,7.5,7,NA,NA,NA,NA
"6","2022-01-11",10,8.97,8.35,6.7,NA,NA,99,96.3,95.5,92,9.4,8.4,8.1,6.8,28,20.58,21,14,41,10,102.24,101.94,101.95,101.66,102.19,101.89,101.9,101.61,32200,24008.3,18500,4800,2.3,1.8,1.8,1.3,9.7,0,3.4,1.4,0,17.7,17.7,0,NA,"08:05:00","16:36:00",8.52,8.08,16.6,NA,NA,10,10,6,9,NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA
"7","2022-01-10",8.5,4.78,3.55,-1.4,NA,NA,99,93.4,91.5,84,6.9,3.8,3.4,-0.1,28,15.42,15,2,38,7,102.69,102.49,102.38,102.06,102.64,102.44,102.33,102.01,32200,24812.5,22550,12900,2.8,2.1,2.2,1.7,14.4,0,0,0,0,4.6,4.6,0,NA,"08:05:00","16:35:00",8.5,8.08,16.58,NA,NA,8,8,7,8,NA,NA,NA,NA,NA,8,6.9,4,0,NA,NA,NA,NA
"8","2022-01-09",6.7,2.55,2.6,-1.5,NA,-2,99,93.7,91.5,84,3.6,1.6,1.6,-0.5,15,7.08,8,1,NA,NA,102.79,102.65,102.67,102.54,102.74,102.6,102.61,102.49,40200,30837.5,20600,1000,3,2,2.2,1.5,15.4,0,0,0,0,0,0,0,NA,"08:06:00","16:34:00",8.47,8.1,16.57,1,1,6,6,0,0,NA,NA,NA,NA,NA,8,2.6,4,0,NA,NA,NA,NA
"9","2022-01-08",3.4,1.52,0.64,-2.1,NA,-5,96,87.3,79,62,2.4,-0.5,-1,-4.5,24,14.21,14.5,5,32,7,102.71,102.25,102.12,101.53,102.66,102.2,102.07,101.48,48300,23845.8,26150,4000,2.9,2.2,2.2,1.6,17.4,0,0,0,0,3,3,0,NA,"08:06:00","16:32:00",8.43,8.1,16.53,NA,NA,2,3,2,4,NA,NA,NA,NA,NA,8,7.6,7,6,NA,NA,NA,NA
"10","2022-01-07",4.6,2.64,2.95,1.3,NA,NA,99,77.5,78.5,58,3.8,-1.1,-0.6,-5.1,61,34.17,34,7,83,29,101.45,99.95,100.22,99,101.4,99.9,100.17,98.95,48300,36287.5,28200,8100,2.8,2.2,2.2,1.6,15.1,0,0,0,0,7.6,7.6,0,2,"08:07:00","16:31:00",8.4,8.12,16.52,1,1,3,3,-1,-1,NA,NA,NA,NA,NA,8,6.5,4.5,1,NA,NA,NA,NA
